Grade Sort Nbr,Enrollment Cnt,% Grades Receivedof Enrollment,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
1,4,,,00527,G. Ugo Nwokeji,4,African American Studies,4B,001,A,Letter Grade,A+,Africa:  Hist & Cul
1,3,,,00539,Brandi Catanese,4,African American Studies,5A,001,A,Letter Grade,A+,Afam Life & Cul U S
1,1,,,00557,Sam Mchombo,4,African American Studies,10B,001,A,Letter Grade,A+,Intermed Swahili
1,2,,,00560,Edwin Okongo,4,African American Studies,11B,001,A,Letter Grade,A+,Elementary Swahili
1,2,,,00563,Edwin Okongo,4,African American Studies,11B,002,A,Letter Grade,A+,Elementary Swahili
1,5,,,00610,John Patton,4,African American Studies,109,001,A,Letter Grade,A+,Black/Male Am Life
1,2,,,00626,Hardy Frye,4,African American Studies,122,001,A,Letter Grade,A+,"Afam Family, Am Soc"
1,2,,,00628,Stephen Small,4,African American Studies,123,001,A,Letter Grade,A+,Social & Political
1,1,,,00635,Darieck Scott,4,African American Studies,152F,001,A,Letter Grade,A+,Neo-Slave Narrative
1,6,,,00638,Aya De Leon,4,African American Studies,156AC,001,A,Letter Grade,A+,Poetry 4 People:Int
1,1,,,02030,Michelle Branch,4,American Studies,101,003,A,Letter Grade,A+,Us Cultures In Time
1,1,,,02057,Paul Groth,4,American Studies,C112B,001,A,Letter Grade,A+,"Am Landscape,1900--"
1,5,,,02303,Terrence Deacon,4,Anthropology,1,001,A,Letter Grade,A+,Intro To Bio Anthro
1,8,,,02396,Kent Lightfoot,4,Anthropology,2AC,001,A,Letter Grade,A+,Intro Archaeology
1,3,,,02465,Xin Liu,4,Anthropology,3AC,001,A,Letter Grade,A+,Intro Soc/Cult Ac
1,1,,,02537,Jason Price; Terrence Deacon,4,Anthropology,R5B,002,A,Letter Grade,A+,Reading & Comp
1,3,,,02540,Stanley Herman,4,Anthropology,R5B,003,A,Letter Grade,A+,Reading & Comp
1,4,,,02548,Arpita Roy,4,Anthropology,R5B,006,A,Letter Grade,A+,Reading & Comp
1,2,,,02612,Lawrence Cohen,4,Anthropology,115,001,A,Letter Grade,A+,Intro Med Anthro
1,2,,,02638,James Battle,4,Anthropology,119,001,A,Letter Grade,A+,Med Anthro Topics
1,2,,,02639,Laurie Wilkie,4,Anthropology,121C,001,A,Letter Grade,A+,Hist Artifact/Analy
1,15,,,02644,Jun Sunseri,4,Anthropology,122A,001,A,Letter Grade,A+,Archaeol No Amer
1,4,,,02645,Patrick Kirch,4,Anthropology,C124C,001,A,Letter Grade,A+,Hum Bio Of The Pac
1,6,,,02663,Lisa Maher,4,Anthropology,128M,001,A,Letter Grade,A+,Topics:Arch/Method
1,7,,,02669,Laura Nader,4,Anthropology,137,001,A,Letter Grade,A+,Energy/Cult/Soc Org
1,15,,,02681,Stefania Pandolfo,4,Anthropology,149,001,A,Letter Grade,A+,Psychological Anth
1,3,,,02696,Paul Rabinow,4,Anthropology,155,001,A,Letter Grade,A+,Modernity
1,2,,,02698,Junko Habu,4,Anthropology,171,001,A,Letter Grade,A+,Japan
1,14,,,02699,William Hanks,4,Anthropology,179,001,A,Letter Grade,A+,The Maya
1,2,,,02702,Stanley Brandes,4,Anthropology,180,001,A,Letter Grade,A+,Europ Society
1,1,,,02708,Mariane Ferme,4,Anthropology,189,002,A,Letter Grade,A+,Spec Top:Soc/Cult
1,1,,,02711,Stanley Herman,4,Anthropology,189,003,A,Letter Grade,A+,Spec Top:Soc/Cult
1,1,,,02714,Arpita Roy,4,Anthropology,189,004,A,Letter Grade,A+,Spec Top:Soc/Cult
1,1,,,02774,William Hanks,4,Anthropology,H195B,003,A,Letter Grade,A+,Senior Honors
1,1,,,02777,Terrence Deacon,4,Anthropology,H195B,004,A,Letter Grade,A+,Senior Honors
1,1,,,02816,Laurie Wilkie,4,Anthropology,H195B,017,A,Letter Grade,A+,Senior Honors
1,1,,,02822,Lisa Maher,4,Anthropology,H195B,019,A,Letter Grade,A+,Senior Honors
1,1,,,02837,Xin Liu,4,Anthropology,H195B,024,A,Letter Grade,A+,Senior Honors
1,2,,,02840,Stephanie Etting,4,Anthropology,196,001,A,Letter Grade,A+,Undergrad Sem
1,3,,,02843,Stephanie Etting,4,Anthropology,196,002,A,Letter Grade,A+,Undergrad Sem
1,6,,,03001,Laurie Wilkie,4,Anthropology,227,001,A,Letter Grade,A+,Hist Arch Res
1,7,,,03002,Jun Sunseri,4,Anthropology,228,001,A,Letter Grade,A+,Method
1,4,,,03005,Lisa Maher; Patrick Kirch,4,Anthropology,229B,001,A,Letter Grade,A+,Arch Rsch Strat
1,2,,,03011,Ira Jacknis,4,Anthropology,235,001,A,Letter Grade,A+,Museum Anthropology
1,4,,,03016,Stefania Pandolfo,4,Anthropology,250A,001,A,Letter Grade,A+,Psychological Anthr
1,1,,,03023,Nelson Graburn,4,Anthropology,250V,001,A,Letter Grade,A+,Tourism
1,1,,,03026,Aihwa Ong,4,Anthropology,250X,001,A,Letter Grade,A+,Special Topics
1,1,,,03092,Terrence Deacon,4,Anthropology,298,005,A,Letter Grade,A+,Dir Read
1,2,,,03125,Xin Liu,4,Anthropology,298,016,A,Letter Grade,A+,Dir Read
1,1,,,03164,Ruth Tringham,4,Anthropology,298,031,A,Letter Grade,A+,Dir Read
1,2,,,03170,Lisa Maher,4,Anthropology,298,034,A,Letter Grade,A+,Dir Read
1,3,,,03176,Sabrina Agarwal,4,Anthropology,299,001,A,Letter Grade,A+,Directed Research
1,1,,,03215,Patrick Kirch,4,Anthropology,299,014,A,Letter Grade,A+,Directed Research
1,1,,,03236,Stefania Pandolfo,4,Anthropology,299,021,A,Letter Grade,A+,Directed Research
1,1,,,03242,Nancy Scheper-Hughes,4,Anthropology,299,023,A,Letter Grade,A+,Directed Research
1,1,,,03245,Laurie Wilkie,4,Anthropology,299,024,A,Letter Grade,A+,Directed Research
1,1,,,03266,Lisa Maher,4,Anthropology,299,031,A,Letter Grade,A+,Directed Research
1,19,,,04303,John Mcnamara,4,Art Practice,8,001,A,Letter Grade,A+,Intro Vis Thinking
1,1,,,04318,Stephanie Lie,4,Art Practice,12,001,A,Letter Grade,A+,Lang Of Draw
1,5,,,04321,Indira Morre,4,Art Practice,12,003,A,Letter Grade,A+,Lang Of Draw
1,2,,,04330,Brody Reiman,4,Art Practice,14,001,A,Letter Grade,A+,Lang Of Sculpture
1,2,,,04333,Asma Kazmi,4,Art Practice,14,002,A,Letter Grade,A+,Lang Of Sculpture
1,10,,,04338,Greg Niemeyer,4,Art Practice,W23AC,001,A,Letter Grade,A+,American Cybercultr
1,2,,,04399,Michael Hall,4,Art Practice,102,002,A,Letter Grade,A+,Approaches To Ptng
1,2,,,04405,Josephine Taylor,4,Art Practice,118,001,A,Letter Grade,A+,Figure Drawing
1,2,,,04413,Randy Hussong,4,Art Practice,123,001,A,Letter Grade,A+,Screenprinting
1,3,,,04423,Michael Swaine,4,Art Practice,137,001,A,Letter Grade,A+,Adv Proj Ceram Scul
1,2,,,04427,Elise Putnam,4,Art Practice,160,003,A,Letter Grade,A+,Spec Topics Vis Std
1,5,,,04428,Katherine Sherwood,4,Art Practice,165,001,A,Letter Grade,A+,"Art,Med & Disabil"
1,4,,,04444,Asma Kazmi,4,Art Practice,185,102,A,Letter Grade,A+,Sn Projects
1,1,,,04666,Greg Niemeyer,4,Art Practice,290,004,A,Letter Grade,A+,Indep Stud Grad
1,6,,,04714,Greg Niemeyer,4,Art Practice,295,001,A,Letter Grade,A+,Indep Study Mfa
1,2,,,04812,Amy Kim; Shahrzad Ehya,4,History of Art,R1B,004,A,Letter Grade,A+,Visual Experience
1,4,,,04818,Laura Richard; Shahrzad Ehya,4,History of Art,R1B,006,A,Letter Grade,A+,Visual Experience
1,2,,,04827,Darcy Grigsby,4,History of Art,11,001,A,Letter Grade,A+,Intr To Western Art
1,1,,,04884,Patricia Berger,4,History of Art,130A,001,A,Letter Grade,A+,Early Chinese - I
1,12,,,04932,Kathryn Moore,4,History of Art,160,001,A,Letter Grade,A+,Florence 1400-1600
1,2,,,04944,Darcy Grigsby,4,History of Art,180A,001,A,Letter Grade,A+,Early 19th C Europe
1,9,,,04956,Julia Bryan-Wilson,4,History of Art,188,001,A,Letter Grade,A+,Latin American Art
1,1,,,04980,Gaius Stern,4,History of Art,192B,001,A,Letter Grade,A+,Ancient
1,1,,,04983,Kathryn Moore,4,History of Art,192D,001,A,Letter Grade,A+,Renaissance
1,1,,,04986,Todd Olson,4,History of Art,192E,001,A,Letter Grade,A+,17th-18th Century
1,1,,,04989,Justin Underhill,4,History of Art,192F,001,A,Letter Grade,A+,19th-20th Century
1,1,,,05016,Todd Olson,4,History of Art,H195,004,A,Letter Grade,A+,Special Study-Honor
1,1,,,05019,Darcy Grigsby,4,History of Art,H195,005,A,Letter Grade,A+,Special Study-Honor
1,2,,,05064,Beate Fricke; Niklaus Largier,4,History of Art,258,001,A,Letter Grade,A+,Sem: Late Medieval
1,5,,,05262,Anna Leong; Margaret Rhee,4,Asian American Studies,R2A,002,A,Letter Grade,A+,Reading&Composition
1,4,,,05304,Harvey Dong,4,Asian American Studies,20B,001,A,Letter Grade,A+,Intro Contemp Issue
1,20,,,05436,Hatem Bazian,4,Asian American Studies,132AC,001,A,Letter Grade,A+,Islamophobia
1,3,,,05441,Winston Tseng,4,Asian American Studies,143,001,A,Letter Grade,A+,As Am Health
1,1,,,05445,Jerrold Takahashi,4,Asian American Studies,146,001,A,Letter Grade,A+,Asian Amer & Educ
1,6,,,05454,Elaine Kim,4,Asian American Studies,171,001,A,Letter Grade,A+,"Asam In Film, Video"
1,6,,,05472,Fae Ng,4,Asian American Studies,172,001,A,Letter Grade,A+,Asian Amer Lit
1,5,,,05475,Fae Ng,4,Asian American Studies,173,001,A,Letter Grade,A+,Creative Writing
1,8,,,05481,Maria Barrios-Leblanc,4,Asian American Studies,175,001,A,Letter Grade,A+,Contemp Narratives
1,1,,,05490,Maria Barrios-Leblanc,4,Asian American Studies,195,001,A,Letter Grade,A+,Senior Thesis
1,1,,,05903,Eugene Chiang,4,Astronomy,7B,001,A,Letter Grade,A+,Intro Astrophysics
1,47,,,05912,Alexei Filippenko,4,Astronomy,C10,001,A,Letter Grade,A+,General Astronomy
1,1,,,06014,Geoffrey Bower,4,Astronomy,121,001,A,Letter Grade,A+,Radio Astronomy Lab
1,3,,,06017,Marc Davis,4,Astronomy,C161,001,A,Letter Grade,A+,Rela Astro & Cosmo
1,1,,,06026,Raymond Jeanloz,4,Astronomy,C162,001,A,Letter Grade,A+,Planetary Astrophys
1,1,,,06065,Daniel Kasen,4,Astronomy,C207,001,A,Letter Grade,A+,Rad Proc In Astron
1,1,,,06076,Eliot Quataert,4,Astronomy,252,001,A,Letter Grade,A+,Stel Struct Evol
1,4,,,07303,Gary Firestone; Jennifer Doudna; Michael Meighan; Nipam Patel,4,Biology,1A,001,A,Letter Grade,A+,General Biology Lec
1,1,,,07405,Michael Meighan,4,Biology,1AL,001,A,Letter Grade,A+,General Biology Lab
1,16,,,07498,Alan Shabel; George Roderick; Lewis Feldman; Mike Moser,4,Biology,1B,001,A,Letter Grade,A+,General Biology
1,3,,,07750,Daniel Zilberman; Michael Shapira,4,Biology,11,001,A,Letter Grade,A+,Intr Sci Living Org
1,5,,,07753,Dan Meltzer; Michael Shapira,4,Biology,11L,001,A,Letter Grade,A+,Lab For Biology 11
1,1,,,10286,Annalee Rejhon,4,Celtic Studies,119A,001,A,Letter Grade,A+,Welsh Lit Of Ma
1,2,,,10292,Thomas Walsh,4,Celtic Studies,129,001,A,Letter Grade,A+,Mod Celtic Cultures
1,3,,,10295,Edward Stack,4,Celtic Studies,145B,001,A,Letter Grade,A+,Mod Irish Level 4
1,1,,,10301,Annalee Rejhon,4,Celtic Studies,173,001,A,Letter Grade,A+,Celtic Christianity
1,1,,,10331,Annalee Rejhon,4,Celtic Studies,H195B,005,A,Letter Grade,A+,Honors Course
1,3,,,13221,Jorge Gonzalez,4,Chicano Studies,20,001,A,Letter Grade,A+,Intro Chicano Cult
1,1,,,13344,Pedro Di Pietro,4,Chicano Studies,110,001,A,Letter Grade,A+,Latina/O Phil & Rel
1,4,,,13347,Raymond Telles,4,Chicano Studies,135B,001,A,Letter Grade,A+,Contemp Latino Film
1,1,,,13356,Laura Perez,4,Chicano Studies,143,001,A,Letter Grade,A+,"Chic, Lat Amer Lit"
1,2,,,13359,Pablo Gonzalez,4,Chicano Studies,150B,001,A,Letter Grade,A+,Hist Of Southwest
1,1,,,13362,Alex Saragoza,4,Chicano Studies,159,001,A,Letter Grade,A+,Mexican Immigration
1,4,,,13368,Blas Guerrero,4,Chicano Studies,172,001,A,Letter Grade,A+,Chicano & Educ Syst
1,1,,,13374,Bernard Griego,4,Chicano Studies,176,001,A,Letter Grade,A+,Chic Health Care
1,2,,,13380,Celia Rodriguez,4,Chicano Studies,180,002,A,Letter Grade,A+,Topics In Chic Stud
1,2,,,14703,Dylan Sailor,4,Classics,10B,001,A,Letter Grade,A+,Intro Roman Civ
1,5,,,14739,Anthony Bulloch,4,Classics,28,001,A,Letter Grade,A+,Classic Myths
1,1,,,14796,Lisa Pieraccini,4,Classics,130,001,A,Letter Grade,A+,Topics
1,7,,,14799,Laura Yansen De Skipper,4,Classics,130,002,A,Letter Grade,A+,Topics
1,2,,,14814,Anthony Long,4,Classics,163,001,A,Letter Grade,A+,Topic Greek Philos
1,1,,,14823,Todd Hickey,4,Classics,H195,001,A,Letter Grade,A+,Honors Course
1,1,,,14868,Todd Hickey,4,Classics,225,001,A,Letter Grade,A+,Papyrology
1,1,,,15203,Derin Mcleod; Kathleen Mccarthy,4,Greek,2,001,A,Letter Grade,A+,Elementary Greek
1,1,,,15606,Kathleen Mccarthy; Virginia Lewis,4,Latin,1,002,A,Letter Grade,A+,Elementary Latin
